id,aliases,severity,cvss,summary,published
GHSA-qrpm-p2h7-hrv2,CVE-2021-23566,MODERATE,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,Exposure of Sensitive Information to an Unauthorized Actor in nanoid,2022-01-21
GHSA-r96c-57pf-9jjm,CVE-2018-16491,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Prototype Pollution in node.extend,2019-02-07
GHSA-54xq-cgqr-rpm3,,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,sharp vulnerability in libwebp dependency CVE-2023-4863,2023-11-16
GHSA-f88m-g3jw-g9cj,,HIGH,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:L/VI:H/VA:H/SC:N/SI:N/SA:N,"sharp inherited vulnerabilities in libvips: CVE-2026-33327, CVE-2026-33328, CVE-2026-35590, CVE-2026-35591",2026-07-21
GHSA-gp95-ppv5-3jc5,CVE-2022-29256,MODERATE,CVSS:3.1/AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,sharp vulnerable to Command Injection in post-installation over build environment,2022-06-01
GHSA-r683-j2x4-v87g,CVE-2022-0235,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,node-fetch forwards secure headers to untrusted sites,2022-01-21
GHSA-w7rc-rwvf-8q5r,CVE-2020-15168,LOW,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:N/A:L,The `size` option isn't honored after following a redirect in node-fetch,2020-09-10
GHSA-968p-4wvh-cqc8,CVE-2025-27789,MODERATE,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Babel has inefficient RegExp complexity in generated code with .replace when transpiling named capturing groups,2025-03-11
GHSA-9vrw-m88g-w75q,,HIGH,,Denial of Service in @hapi/accept,2020-09-03
GHSA-c429-5p7v-vgjp,CVE-2020-36604,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,hoek subject to prototype pollution via the clone function.,2022-09-25
GHSA-4wf5-vphf-c2xc,CVE-2022-25858,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Terser insecure use of regular expressions leads to ReDoS,2022-07-16
GHSA-8w4h-3cm3-2pm2,CVE-2018-3745,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,Out-of-bounds Read in atob,2018-10-09
GHSA-3g43-6gmg-66jw,CVE-2026-44495,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:L,axios Vulnerable to Credential Theft and Response Hijacking via Prototype Pollution Gadget in Config Merge,2026-05-29
GHSA-3p68-rc4w-qgx5,CVE-2025-62718,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,Axios has a NO_PROXY Hostname Normalization Bypass that Leads to SSRF,2026-04-09
GHSA-74fj-2j2h-c42q,CVE-2022-0155,HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,Exposure of sensitive information in follow-redirects,2022-01-12
GHSA-cxjh-pqwp-8mfp,CVE-2024-28849,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,follow-redirects' Proxy-Authorization header kept across hosts,2024-03-14
GHSA-jchw-25xp-jwwc,CVE-2023-26159,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Follow Redirects improperly handles URLs in the url.parse() function,2024-01-02
GHSA-pw2r-vq6v-hr8c,CVE-2022-0536,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,Exposure of Sensitive Information to an Unauthorized Actor in follow-redirects,2022-02-10
GHSA-664h-wqgq-64gw,,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,Mongoose: Prototype pollution in mongoose update casting via __proto__-prefixed dotted path (Schema._getSchema/path getter),2026-07-24
GHSA-8687-vv9j-hgph,CVE-2019-17426,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,Improper Input Validation in Automattic Mongoose,2019-10-22
GHSA-9m93-w8w6-76hh,CVE-2023-3696,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:H,Mongoose Prototype Pollution vulnerability,2023-07-17
GHSA-f825-f98c-gj3g,CVE-2022-2564,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:H,automattic/mongoose vulnerable to Prototype pollution via Schema.path,2022-07-29
GHSA-4jwp-vfvf-657p,CVE-2019-2391,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,Deserialization of Untrusted Data in bson,2022-02-10
GHSA-8462-q7x7-g2x4,CVE-2018-13863,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,js-bson vulnerable to REDoS,2018-09-17
GHSA-v8w9-2789-6hhr,CVE-2020-7610,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Deserialization of Untrusted Data in bson,2021-05-07
GHSA-mh5c-679w-hh4r,,HIGH,,Denial of Service in mongodb,2020-09-03
GHSA-h466-j336-74wx,CVE-2018-16490,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Prototype Pollution in mpath,2019-02-07
GHSA-p92x-r36w-9395,CVE-2021-23438,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,Type confusion in mpath,2021-09-02
GHSA-45q2-34rf-mr94,CVE-2020-35149,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Code Injection in mquery,2020-12-18
GHSA-m2mx-rfpw-jghv,CVE-2020-13110,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,DLL Injection in kerberos,2020-09-04
GHSA-25hc-qcg6-38wj,CVE-2024-38355,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,socket.io has an unhandled 'error' event,2024-06-19
GHSA-fxwf-4rqh-v8g3,CVE-2020-28481,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,CORS misconfiguration in socket.io,2021-01-20
GHSA-268h-hp4c-crq3,,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,Nodemailer: CRLF injection in Nodemailer List-* header comments allows arbitrary message header injection,2026-06-15
GHSA-48ww-j4fc-435p,CVE-2020-7769,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Command injection in nodemailer,2021-05-10
GHSA-9h6g-pr28-7cqp,,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,nodemailer ReDoS when trying to send a specially crafted email,2024-01-31
GHSA-c7w3-x93f-qmm8,,LOW,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,Nodemailer has SMTP command injection due to unsanitized `envelope.size` parameter,2026-03-26
GHSA-8cj5-5rvv-wf4v,CVE-2025-48387,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N,tar-fs can extract outside the specified dir with a specific tarball,2025-06-03
GHSA-pq67-2wwv-3xjx,CVE-2024-12905,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,tar-fs Vulnerable to Link Following and Path Traversal via Extracting a Crafted tar File,2025-03-27
GHSA-vj76-c3g6-qr5v,CVE-2025-59343,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N,tar-fs has a symlink validation bypass if destination directory is predictable with a specific tarball,2025-09-24
GHSA-3h5v-q93c-6h6q,CVE-2024-37890,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,ws affected by a DoS when handling a request with many HTTP headers,2024-06-17
GHSA-58qx-3vcg-4xpx,CVE-2026-45736,MODERATE,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:H/I:N/A:N,ws: Uninitialized memory disclosure,2026-05-18
GHSA-5v72-xg48-5rpm,,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Denial of Service in ws,2019-06-04
GHSA-c6rq-rjc2-86v2,CVE-2017-18869,LOW,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N,Time-of-check Time-of-use (TOCTOU) Race Condition in chownr,2022-02-10
GHSA-pp7h-53gx-mx7r,CVE-2020-8244,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:L,Remote Memory Exposure in bl,2020-09-02
GHSA-wrw9-m778-g6mc,,MODERATE,,Memory Exposure in bl,2019-06-03
GHSA-446m-mv8f-q348,CVE-2017-18214,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Regular Expression Denial of Service in moment,2018-03-05
GHSA-87vv-r9j6-g5qv,CVE-2016-4055,MODERATE,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,Regular Expression Denial of Service in moment,2017-10-24
GHSA-8hfj-j24r-96c4,CVE-2022-24785,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Path Traversal: 'dir/../../filename' in moment.locale,2022-04-04
GHSA-w5hq-g745-h8pq,CVE-2026-41907 CVE-2026-41988,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,uuid: Missing buffer bounds check in v3/v5/v6 when buf is provided,2026-04-22
GHSA-4gxf-g5gf-22h4,CVE-2023-26132,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,dottie vulnerable to Prototype Pollution,2023-06-10
GHSA-9965-vmph-33xx,CVE-2025-56200,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,validator.js has a URL validation bypass vulnerability in its isURL function,2025-09-30
GHSA-v923-w3x8-wh69,CVE-2022-25896,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:L,Passport vulnerable to session regeneration when a users logs in or out,2022-07-02
GHSA-qwcr-r2fm-qrc7,CVE-2024-45590,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,body-parser vulnerable to denial of service when url encoding is enabled,2024-09-10
GHSA-v422-hmwv-36x6,CVE-2026-12590,LOW,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,body-parser vulnerable to denial of service when invalid limit value silently disables size enforcement,2026-07-20
GHSA-8cf7-32gw-wr33,CVE-2022-23539,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,jsonwebtoken unrestricted key type could lead to legacy keys usage ,2022-12-22
GHSA-hjrf-2m68-5959,CVE-2022-23541,MODERATE,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:L,jsonwebtoken's insecure implementation of key retrieval function could lead to Forgeable Public/Private Tokens from RSA to HMAC,2022-12-22
GHSA-qwph-4952-7xr6,CVE-2022-23540,MODERATE,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:H/A:L,jsonwebtoken vulnerable to signature validation bypass due to insecure default algorithm in jwt.verify(),2022-12-22
GHSA-869p-cjfg-cm3x,CVE-2025-65945,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,auth0/node-jws Improperly Verifies HMAC Signature,2025-12-04
GHSA-rvg8-pwq2-xj7q,,MODERATE,,Out-of-bounds Read in base64url,2020-09-01
GHSA-pfrx-2q88-qq97,CVE-2022-33987,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Got allows a redirect to a UNIX socket,2022-06-19
GHSA-gcx4-mw62-g8wm,CVE-2024-47068,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:H,DOM Clobbering Gadget found in rollup bundled scripts that leads to XSS,2024-09-23
GHSA-mw96-cpmx-2vgc,CVE-2026-27606,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N/E:P,Rollup 4 has Arbitrary File Write via Path Traversal,2026-02-25
GHSA-257v-vj4p-3w2h,CVE-2021-29060,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,Regular Expression Denial of Service (ReDOS),2021-06-22
GHSA-ff7x-qrg7-qggm,CVE-2020-8116,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,dot-prop Prototype Pollution vulnerability,2020-07-29
GHSA-353f-5xf4-qw67,CVE-2023-34092,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Vite Server Options (server.fs.deny) can be bypassed using double forward-slash (//),2023-06-06
GHSA-356w-63v5-8wf4,CVE-2025-32395,MODERATE,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:P/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,Vite has an `server.fs.deny` bypass with an invalid `request-target`,2025-04-11
GHSA-4r4m-qw57-chr8,CVE-2025-31125,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N,Vite has a `server.fs.deny` bypassed for `inline` and `raw` with `?import` query,2025-03-31
GHSA-4w7w-66w2-5vf9,CVE-2026-39365,MODERATE,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,Vite Vulnerable to Path Traversal in Optimized Deps `.map` Handling,2026-04-06
GHSA-67mh-4wv8-2f99,,MODERATE,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N,esbuild enables any website to send any requests to the development server and read the response,2025-02-10
GHSA-2328-f5f3-gj25,CVE-2026-33896,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,Forge has a basicConstraints bypass in its certificate chain verification (RFC 5280 violation),2026-03-26
GHSA-2r2c-g63r-vccr,CVE-2022-24773,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Improper Verification of Cryptographic Signature in `node-forge`,2022-03-18
GHSA-554w-wpv2-vw27,CVE-2025-66031,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,node-forge has ASN.1 Unbounded Recursion,2025-11-26
GHSA-5gfm-wpxj-wjgq,CVE-2025-12816,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:H/A:N,node-forge has an Interpretation Conflict vulnerability via its ASN.1 Validator Desynchronization,2025-11-26
GHSA-38h8-x697-gh8q,CVE-2017-16024,MODERATE,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,Tmp files readable by other users in sync-exec,2018-11-09
GHSA-2m96-9w4j-wgv7,,HIGH,,Prototype Pollution in lodash.merge,2020-09-03
GHSA-h726-x36v-rx45,,HIGH,,Prototype Pollution in lodash.merge,2020-09-03
GHSA-5v2h-r2cx-5xgj,CVE-2022-21681,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Inefficient Regular Expression Complexity in marked,2022-01-14
GHSA-7px7-7xjx-hxm8,CVE-2017-1000427,MODERATE,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,Marked vulnerable to XSS from data URIs,2018-01-04
GHSA-4xcv-9jjx-gfj3,,MODERATE,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,Denial of Service in mem,2019-07-05
GHSA-mgfv-m47x-4wqp,CVE-2020-26311,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,useragent Regular Expression Denial of Service vulnerability,2024-10-26
GHSA-pjmx-9xr3-82qr,CVE-2017-16030,HIGH,,ReDoS via long UserAgent header in useragent,2018-07-24
GHSA-g36h-6r4f-3mqp,CVE-2017-16116,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Regular Expression Denial of Service in string package,2018-07-24
GHSA-xf7w-r453-m56c,CVE-2019-13173,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Arbitrary File Overwrite in fstream,2019-05-30
GHSA-4jv9-3563-23j3,CVE-2016-20018,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Knex.js has a limited SQL injection vulnerability,2022-12-19
GHSA-58v4-qwx5-7f59,CVE-2019-10757,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,SQL Injection in knex,2019-10-21
GHSA-44fp-w29j-9vj5,CVE-2025-47935,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Multer vulnerable to Denial of Service via memory leaks from unclosed streams,2025-05-19
GHSA-5528-5vmv-3xc2,CVE-2026-3520,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,Multer Vulnerable to Denial of Service via Uncontrolled Recursion,2026-03-05
GHSA-wm7h-9275-46v2,CVE-2022-24434,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Crash in HeaderParser in dicer,2022-05-21
